text,label
"When I was accepted as a student of Psychology here at  
Gutttenburg.",joy
I was unaware that I had walked the streets in torn trousers.,shame
"When I had an argument with my best friend and I thought that I  
was right and she was not.",anger
"I felt joyful when my boyfriend met me at the station, while at  
first he had said that he would not do that.",joy
When I found our my mother didn't have cancer.,joy
Canoeing across harbour in winds - 20 knots and rising seas.,fear
"My girlfriend who had spent 6 months abroad broke off our  
relationship by letter.",sadness
"I felt guilty last year during the winter term exams. A colleague  
of mine asked me to give him my lecture notes (I had very good  
notes and I had passed my exam in advance) but I still don't know  
why I didn't give them to him. That colleague failed and he was  
on the verge of not passing it at the supplementary examinations.",guilt
"Every time I was around this one person I would stick my foot in  
my mouth by being nasty. One time I accidently said something  
fairly cruel that was totally inappropriate.",shame
A parking fine.,guilt
"When I went to see the doctor and had to take my clothes off so  
that he could examine me.",shame
"Someone asked me to do something and I made up an excuse and said  
no. I then went and didn't the same thing with someone else and  
hoped the first person never found out.",guilt
"I am disgusted by people who spoil their identity because of  
misbehaviour.  This morning when I was in a crowded bus, I found  
a seat on which a university student was sitting on one side and  
he had put his bag and files next to him.  There was very little  
space left and I sat down while he kept on reading.  Even when I  
leaned on him he did not put his bag away.  He did not respond and  
I felt very angry.",disgust
"My mother told me that I could not go to the mountains.  Despite  
my age, as long as I am in her house I must do what she says.",anger
When I saw an accident where the man lost his head.,disgust
"When I succeded in establishing a contact with a girl (who is now  
my girlfriend).",joy
"When I discovered my mother had been having an affair with my  
father's best friend, and then ran away with him without even  
speaking to me about what she was doing letting me come home from  
school simply to find her gone. I was filled with disgust and  
contempt.",disgust
"For example, to feel bad because of one's attire, to be among  
people who do not belong to the same social class, to give a  
wrong answer in class, to be surprised in particular situations.",shame
"Some time ago I took the driving test. I did answer the  
theoretical questions very well, but I failed the practical  
driving test. It was my fault because I had not enough practice.",guilt
"When I worked as an ""au-pair-girl"" in London, I received a call  
from a good friend who told me that she was in London too and  
wanted to see me. I was very glad - after that call and  
especially when I saw her.",joy
"When I saw a documentary film about World War II (about Hitler  
and his adepts).",disgust
Receiving a letter from a boy I care.,joy
Leaving high school.,sadness
"I was driving along and saw this young guy urinating into the  
gutter, in broad daylight.",disgust
"Eating biscuits and drinking Milo (Chocolate energy drink made  
with milk and usually drunk warm) with my friend at College. We  
get on really well, don't withold any feelings about each other's  
friends and are pretty good at cheering each other up when we are  
homesick.",joy
"I passed an exam which I was not sure at all to pass.  I rejoyced  
at the result because the possibility of continuing my studies  
depended on it.",joy
"I was walking on a street alone in the afternoon when there were  
not too many people on the street.  A couple of guys were  
following me and I was ignoring them.  Suddenly one of them came  
in front of me and started using dirty language and harrassing  
me.  I got very angry and wanted to strike back at them.",anger
"When you are satisfied with something, when you achieve something  
you have striven to.",joy
"[ When I act thinking that I know everything and I then realize  
that there were things I had not thought about, thus hurting  
others.]",guilt
"I ate a Runeberg's cake, though I knew that I would immediately  
put on a kilo.",guilt
"One of my first boyfriends got mad at me because a lot of my  
close friends were guys and he didn't want me to see them anymore  
because he was jealous.",anger
When a guy chased me when I was out jogging.,fear
"This happened when I went to visit my friend in Chelston and  
found him screwing my girlfriend.",disgust
"After a party I spent the night with a friend. We both were  
drunk, the morning was disillusioning. A friend was me leaving  
the room and I felt shabby and immoral.",shame
When I got a bad result for one of my assignments.,shame
"I took my grandmother's money without telling her and when asked  
if it was me who had taken the money, I denied it.",guilt
"My paternal grandmother had died. We weren't close but she was  
blood. I didn't cry but I was sad, partly due to her death and  
partly I think, due to the fact that I couldn't/didn't cry.",sadness
"When my mother's new husband treated her and my brothers and  
sisters badly.",disgust
"A customer at the shop where I worked came in and asked if the  
goods that he had ordered had arrived.  I had totally  
forgotten about this order and I tried to offer weak excuses.",shame
I felt it at the same time when I felt disgust.,fear
"When someone ignores what I am saying or doesn't let me have my  
point of view and they monopolise a conversation.",anger
When boyfriend could not stand up to his mother or for himself.,sadness
Beating my brother up.,guilt
"Seeing a friend ""making love"" to a high school girl. I  
accidentally was dragged into this room where the happenings had  
occurred. I was disgusted at the reality.",disgust
"I had an argument with my mother because I criticized the rules  
she imposes at home, which are too rigid and arbitrary for me.",anger
"If I don't go to lectures, I often feel ashamed.",shame
Loss of close relative.,sadness
Finding out that I was deceived by a friend.,anger
"I feel anger when I see a ""parent"" beating and punishing his child  
in the street. Recently I was a withness of a similar case.",anger
"When two female classmates and I were having lunch, we chatted and   
cracked jokes, I was very happy.  However, I felt that I may have   
said something inappropriate which might cause them to have a bad   
impression of me.",joy
"When my dad told me about something he had done against my  
mother.",anger
NO RESPONSE,disgust
"The death of a relative, friend, or someone I esteem.",sadness
"When I was transferred from Chichiri Secondary School to St.  
Mary's Sec. School. I was happy at Chichiri as a day scholer and  
had made a lot of friends. I was going to a boarding and that  
meant parting with my friends as well as my boyfriend for the  
first time.",sadness
"When I ""hated"" one of mmy flatmates who was nice to me.",guilt
"The elections of 1982 and 1985.  The thought of what a social  
democrat and communist majority could achieve, especially ""worker  
share"" funds and its extension.",sadness
"I saw in a movie a block on which affluence and poverty existed.  
I saw that the rich made no attempts to help the poor.",anger
First time in anatomy.,fear
"Receiving understanding from within self of a subject I had  
previously wished to understand better.",joy
When they told me that my grandfather was rather ill.,sadness
"Once my friend and I got into into a hot discussion on a very  
controversial topic.  At one point of the argument I disagreed  
with her totally and I took what she was saying as an insult.  So  
I couter-argued and unknowingly hurt her emotionally, I felt very  
sad about this.",sadness
"With the girl whom I may be loved truly. When she refused to come  
with me to an occasion (she was from another town).",anger
When I don't justify the confidence of people that I respect.,guilt
"My got my mathematics test's marks and could not believe that it  
was true.  In the past I would have at least 80% marks.  Was I  
getting weaker at studies ?  This made me feel that I should not  
expect too much from going to the university.",sadness
"When I and the person mentioned above had a suspicion of  
pregnancy.",fear
I gave my mom a gift she wanted for years. I raflected her joy.,joy
"When I saw a TV program on the North American military plan  
called ""The startwar"".",fear
"When my room-mate made a mess of the room after having drunk the  
whole night at a graduation party ceremony.",disgust
"My grandfather died. He lived almost as a recluse not caring for  
himself as well as he should - Dad and we all helped as much as  
we could, but it didn't save him from himself. It was an  
unexpected death. His second de facto wife was lucky she wasn't  
jailed.",sadness
When I was on holiday someone vomited in front of me.,disgust
"When my best friend started getting involved in my private  
affairs.",disgust
"I went to a pub with a group of friends (not very close) and  
I was with one girl most of the time, while the other girls in the  
group wanted to be with me.  They stopped talking to the girl I  
was with.",guilt
"When my father was imprisoned for burning the house of his  
younger brother.",sadness
"When my best friend promised to come at my house and I had to  
prepare so many expensive things for her but only to learn at  
last that she would not turn up.",sadness
A classmate damaged ma iron and tried to hide the damage.,anger
"I have a friend that I deeply trusted but it happened that I lost  
my confidence in her for which she herself was to blame.",anger
"I had to prepare a report but I couldn't write it. I read from a  
book off-hand, I was quite uneasy and I felt I didn't manage.",shame
"A few months a close relative of mine died.  I had never expected  
this to happen and was sad for a few months.",sadness
Before an exam.,fear
"A friend told me that a boy wanted to get to know me.  At that  
time I felt disgusted and thought that it was a nonsense thing.",disgust
"It was in a group situation: suddenly it was my turn to say something, 
but I felt that I was not able to express myself very well - I felt  
ashamed and blushed.",shame
"Four weeks ago I felt very much touched to find an asciatic  
patient who had asked the very morning to be tapped of the fluid,  
dying in the evening. I was really disgusted because this was the  
Medical staff's negligence. Had the Clinical officers done  
something that very morning he might have been alive today.",disgust
"During a holiday in East-Germany I got aquainted with a boy who  
lived there. We started writing, but I only wrote once. I felt  
ashamed because I probably was one of his sparse contacts with  
western Europe.",guilt
"This condition accumulated in my mind when funeral news was  
brought to my awareness, that a close relative had passed away.",sadness
"When I, for the first time, failed a junior exam, i.e form 3.",disgust
"When I finished my exams after 12th Grade, I was worried about  
getting a T.E. Score high enough for Physiotherapy. When I found  
that I had been accepted I was ecstatic, or more appropriately,  
could jump for joy.",joy
"During a family discussion on my future and my prospects as a  
student, they accused me of not bothering about looking for a job to  
assume my financial situation.",anger
"I read about the national and social spirit and self-discipline  
of the people of developed coutries like U.S.A, England, France,  
Germany etc.  Comparing this to the Indian people I felt guilty  
as they have no national spirit or self-discipline.",guilt
"When a man spoke very sexistly in the company of some friends of  
mine.",disgust
"One day I did not feel very well and I wanted to talk to  
somebody. A friend invited me for dinner and I was very glad.",joy
I lost my driver's licence because of speeding.,shame
Watching Muldoon act as my P.M.,shame
Shame of not doing something well.,shame
"When I knew that a person who I didn't like, had about me other  
feelings.",disgust
"I was afraid when my first boyfriend threatened to make an end to  
our relationship because he didn't love me enough while I loved  
him very much.",fear
"When a person saw that I was accused of something I had not done  
and did not do anything to defend me.",disgust
Bought something bad from the shop and they refused to change it.,anger
"When I was 17, I told Mum I came in at midnight, when really it  
was 3.30.",guilt
"I had undertaken to help my sister for her class work but some  
unexpected circumstances prevented me from doing that.",guilt
When I sit for examinations.,fear
My best friend was not chosen for the English lectures.,shame
"I feared that I would have to describe my sexual life to an  
older, strange woman.",shame
"Not attending school, when  am not sick - but in need of mental  
rest. Staff on your return query your ""sickness"" - it is easier  
in N.Z. to be sick, rather than confide other personal reasons  
etc.",guilt
I was angry when my boyfriend did not turn up as promised.,anger
"[ For example, unfair pushing in a bus.]",anger
"When I had to talk to some strangers, from whom I was expecting a  
negative answer.",fear
"I was really shameful when my mother beat me in the presence of  
my friends because I didn't cook lunch up until 2 o'clock.",shame
"A few weeks back I received a Christmas card from a friend in  
England.  She had not written to me in a very long time but it      
showed that she still remembered me.",joy
"Most recently when the chairman at the New Zeeland Rugby Union  
announced that the All Blacks' would accept the invitation of  
South Africa to play rugby in that country.",anger
"After some time of work I was transferred to another place and in  
an other quite harder job.",fear
The first time that I had to go up on the stage to give a speech.,shame
"Begining the week-end with my girlfriend : cozyness, beer and  
wine.",joy
When my father was ill.,sadness
"I think that the only time I really felt shame was when I was  
very young and I had to defecate on the street.  I was very  
worried in case someone should see me.",shame
"To talk in a meeting - expound my thoughts on a subject. Fear  
delayed me acting to do this.",fear
"The same event described under FEAR - in the bus a man sat beside  
me, with his trousers open and holding his penis.",disgust
When I fought with my friends.,guilt
"When I learnt that my offer to study at the university had been  
withdrawn  and so I would not get hostel accomodation at UNZA,  
even though I registered as a student later.",disgust
"I had an accident with a trafic police car that was packed at a  
curve without any visibility and against all traffic regulations  
in a strong snowstorm. As a result I still cannot repair my car  
because of the missing spare parts.",anger
"I was walking home from a place on southside and I live on  
Northside and I was followed. I headed my most direct route.",fear
"I vividly remember having feelings of disgust toward some of my  
jr. high classmates who didn't work at all on their schoolwork  
and who would coplain and take my tax money when I was older and  
more successful than they were. At the time I pictured some  
adults like this that I knew in the complaining situation.",disgust
The time that I had to put my dog to sleep.,guilt
"When during Winter the water pipes froze and we did not have any  
water for two days.",anger
"One night I had to bike home all alone after a party. Then I  
found out that I was pursued by a man in a car.",fear
"My cut was run over by a car. After searching for a long time I  
found her lying in a kerb. I was rather shocked and angry with  
the driver.",sadness
Failing university entrance examn.,shame
"When I started a relation with a girl, with whom I have fallen in  
love already some time ago.",joy
The event which got me angry got also an aversion in me.,disgust
"At rejection / being ignored by a loved person held in great  
esteem.",sadness
"I feel shame when sometimes, (unconsciously) I behave unethically  
and without understanding the problems of the man I love.",shame
"There was a lot of irritation between me and a person who lives  
in the same house where I live. Suddenly it became too much for me and I  
accused him of several things.",anger
"I was disgusted to see a person vomitting and I was told to clean  
the place where the vomit was.",disgust
When a close friend drowned in the American River.,sadness
I received a letter of acceptance from UNZA.,joy
"When my cousin passed away during the holidays at home.  He fell  
ill at night and the next day he died in the evening.",sadness
"When I was caught sneaking back into the house at night after  
having  gone to a disco without permission.",guilt
"While playing basketball I broke a team member's spectacles.  His  
face was injured by the  pieces of glass.  It was not serious but  
I felt guilty and blamed myself for being too careless and  
vigorous in my game.",guilt
Our basketball team is undefeated in league play (4-0) currently.,joy
"I had to leave an important function early because of family  
commitments. Someone else had to complete my job.",guilt
"I was studying in class at night. I was in Form II by then. There  
were rumours about an earthquake. That night dogs were chasing  
one another and passed through the window outside the classroom.  
Those who saw the dogs thought it was a lion and were terrified.  
Trying to run away the desks were dragged and there was a shaking  
movement. I thought it was an earthquake and jumped out of the  
window.",fear
"I spent a lovely relaxing evening with my boyfriend. We played  
games and talked all evening.",joy
"When I was told that I was selected to attend Medical Assistant  
Training.",joy
"On the way home from Marstrand I was driving behind my father's  
car.  Another car tried to push in front of my father and he was  
forced to swerve and he thus collided the car with a pillar.  The  
other car drove off without even seeing what had happened.",anger
"I slipped and fell in to a puddle and people started looking at  
me.",shame
Watching a horror movie with friends.,fear
Not handing in homework in time.,guilt
"In the University we were convoked to a stroll like a freshman I  
was still innocent about the manipulation. On seeing the goal of  
the exaltation to poor character people, I felt anger on feeling  
myself mass of maneuver.",anger
"I've always defended my sister when needed, at the expense of my  
brother. This has led to feelings of guilt towards him.",guilt
"When I just took a shower with a girl down the hall. I felt that  
I had let my devotion to God go out the window. Although nothig  
happened I felt ashamed.",shame
"It was when I discovered that the girl who I had proposed was a  
friend's girlfriend.",guilt
